Region,Country Code,Country,Population,Public Flows (2021 USD M),Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable,EPI.old,EPI.new,CDA.old,CDA.new
Americas,PRY,Paraguay,5906507.739130435,37.64569856486956,5.94367511361649,0.9999734350580824,1403.1557726635654,1.4257391304347826,53383.12291304348,38.8,39.5,34.5,25.7
Americas,SLV,El Salvador,6145736.782608695,84.99481299343479,13.592534454389478,0.6362828973513092,150.6962589993478,2030.7935217391307,3710.9574782608693,46.0,41.6,51.0,40.8
Americas,SUR,Suriname,551438.3913043478,1.4753533677826085,2.4855056329267335,0.5841917980549575,334.6835486647826,669.0812173913043,907.548,48.3,56.9,19.2,45.2
Americas,SXM,Sint Maarten (Dutch Part),35552.34782608696,0.0,0.0,0.0,0.0,152.43478260869566,0.0,62.5,66.9,54.8,68.3
Americas,TCA,Turks and Caicos Islands,31757.043478260868,0.0,0.0,0.002160535669705061,8.217647405086955,194.32173913043476,0.5717391304347825,71.3,72.6,65.0,74.3
Americas,TTO,Trinidad and Tobago,1426783.391304348,0.03557922452173913,0.023764938642416068,0.001702028200572273,3.2400186574347827,8267.785260869565,12.110913043478261,51.5,52.5,38.3,52.2
Americas,URY,Uruguay,3365353.2608695654,54.44211603713478,16.090429790004517,0.8665002443882613,698.7667235665652,1238.828695652174,9070.366565217391,43.6,44.1,34.8,46.1
Americas,USA,United States of America (the),310167213.6956522,57.30147666013044,0.17957610385090728,0.12396275753116677,537.4177732697914,3740149.217391304,533483.8273913043,57.0,57.2,60.8,57.7
Americas,VCT,Saint Vincent and the Grenadines,108810.30434782608,1.6752331746521736,15.808356281334014,0.1704558667137329,62.74563831939131,112.6524347826087,22.623652173913047,53.4,54.2,49.1,49.0
Americas,VEN,Venezuela (Bolivarian Republic of),28136624.173913043,115.87888032204349,4.107424662861905,0.6895741941642504,534.7046681262609,33920.242173913044,72706.64913043477,52.2,53.3,37.8,50.0
Americas,VGB,British Virgin Islands,26866.521739130436,0.0,0.0,0.007885770337400429,22.985371794652174,178.6483043478261,1.5722608695652174,71.3,72.6,65.0,74.3
Americas,VIR,United States Virgin Islands,107788.73913043478,0.0,0.0,0.00781440500784238,34.85851704404348,855.4981739130434,5.34495652173913,57.0,57.2,60.8,57.7
Asia,AFG,Afghanistan,29863177.826086957,43.71721498404347,1.4410127875235097,0.8053124691159705,9.13028419356087,185.8161304347826,772.8021739130435,18.2,31.0,0.0,38.4
Asia,ARE,United Arab Emirates (the),7171237.304347826,293.3158171696087,36.07182150385072,0.007797388961487483,57.94685570386956,96228.64199999999,1127.4823478260869,42.5,51.6,17.2,45.9
Asia,ARM,Armenia,2947563.0434782607,49.366031250086955,17.031667799432686,0.3003198890566871,415.3885582347826,4837.913043478261,2080.468130434783,42.9,44.9,37.3,39.0
Asia,AZE,Azerbaijan,9135375.56521739,45.6582289013913,5.048542563393508,0.09441224482065852,116.31943567317391,20816.713086956523,2108.565826086957,40.8,40.5,52.8,44.5
Asia,BGD,Bangladesh,150754720.3478261,593.0583094064783,3.7483065977751946,0.029058263231812854,2.3830038389826087,48125.72543478261,1134.0420869565219,25.8,28.1,24.7,27.4
Asia,BHR,Bahrain,1167459.1304347827,0.0,0.0,0.00030908668690564784,2.487463262391304,21626.404347826086,9.869565217391305,36.7,35.3,27.7,39.5
Asia,BRN,Brunei Darussalam,397759.7826086957,0.0,0.0,0.00018277769597706563,2.350082706869565,3756.0296956521743,0.7553913043478261,51.4,48.3,31.1,30.4
Asia,BTN,Bhutan,705048.4782608695,15.97238449882609,22.40202027347972,0.9998390613273014,1827.0361901272174,0.5336521739130434,6252.247,36.5,43.3,3.8,38.2
Asia,CHN,China,1346519347.826087,287.1999238733913,0.21267420406462167,0.20592280160807935,279.452804814913,3624231.388043478,1063906.443826087,29.8,35.4,21.0,43.1
Asia,CYP,Cyprus,1123212.4782608696,8.448655514347825,7.190509922983156,0.05054425802229971,134.1254193066087,4387.661304347826,248.371,54.1,53.9,54.6,48.6
Asia,GEO,Georgia,3814580.5217391304,35.60920018745652,9.479032506121246,0.8190421797242521,686.2546351940435,1781.2104782608696,7837.630913043478,41.1,47.3,24.8,38.1
Asia,HKG,"China, Hong Kong Special Administrative Region",7088304.347826087,0.0,0.0,0.0024324690540190484,4.59985158652174,37737.11217391304,92.52734782608695,29.8,35.4,21.0,43.1
Asia,IDN,Indonesia,246467166.82608697,847.712803888826,3.3724850898235625,0.1697830044982895,30.13523501847826,166879.59347826085,33796.7232173913,27.8,33.6,30.2,34.7
Asia,IND,India,1252074574.9565217,995.0409074141348,0.7818395220642095,0.1563585240006226,54.34789267247826,886784.3458260869,170142.40352173912,23.4,27.6,24.1,37.1
Asia,IRN,Iran (Islamic Republic of),76999633.0,22.109189293695653,0.3189960094125466,0.05676736420128834,106.08516034806522,228305.1034347826,13729.663695652174,41.8,41.8,37.0,44.0
Asia,IRQ,Iraq,33720162.652173914,120.96928520304347,3.7752554842986306,0.06238674740019765,51.147513709173914,53783.31317391304,3139.450043478261,23.9,30.3,35.3,38.7
Asia,ISR,Israel,7828273.9130434785,28.995601265217395,3.5103278905336,0.018608731707767154,97.60200207704348,57759.73100000001,1314.7629565217392,47.4,48.0,42.2,60.6
Asia,JOR,Jordan,7820265.260869565,145.03616272952175,16.709880809717678,0.049165515630044274,44.143324872826085,14166.704347826088,1031.039608695652,37.2,47.3,42.1,58.0
Asia,JPN,Japan,127243807.91304348,0.0,0.0,0.12247942030607215,443.29745893930436,949393.9565217391,131321.04347826086,57.2,61.4,49.9,63.1
Asia,KAZ,Kazakhstan,16698858.47826087,119.08619914878261,6.8002887196185755,0.11057732432456432,161.64655951882608,76018.914,9228.702695652175,43.8,47.8,38.3,51.0
