Population,Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable
-0.1656040276090723,-0.09389119633587527,1.9826197667311296,-0.1960728177335337,-0.22077439110844468,-0.14506543358141324
-0.26409885285851414,-0.4048956561339714,2.0712530847721666,0.3656337583930792,-0.2222770974371486,-0.2541777349449703
-0.0783046935537549,-0.3071685619608931,2.095456298726668,-0.3393323580333452,-0.22225957459108492,-0.21869083674876352
-0.1898036430633394,0.08650656486562472,-0.6323140181517171,0.12312571137714805,-0.04199510241728594,-0.1609028622471633
0.7648495044099887,-0.2790767502741458,-0.8943075382538522,-0.374361002407071,-0.10784429724961753,-0.2442305658015911
-0.06067941565626909,-0.35652537277352275,1.505792987391493,-0.3660761004579452,-0.22183857407907498,-0.24770037181849677
-0.21120327717293888,0.15600267640229026,-0.8321379207697048,-0.32308402161663313,-0.18859401302542145,-0.24521993216427965
-0.2242717031954283,-0.20538510915113561,2.107665264718665,1.3456305249707015,-0.22227702816912337,0.25763583511941407
-0.1655131480541439,-0.3787540950081772,0.9128136589905074,-0.24147208350896818,-0.21373023914360662,-0.19649094316705196
0.07527141981954388,-0.4048956561339714,-0.9097536077242718,-0.1828187424278666,0.8796591054128325,-0.13241012857542506
-0.26324837299666426,0.30017075012369016,0.2633501671184572,-0.2724364103722658,-0.22209680176200391,-0.25463262579973944
-0.25077324235095155,-0.21457360439928155,-0.9667650152458872,-0.3761198742693337,-0.22161765560192154,-0.25510426698826627
0.04780946004322155,-0.2774849310467089,-0.757638510496103,-0.19113720788640406,0.1617221597567631,-0.1368655093800564
-0.16035811800363986,0.10700300638816752,0.9185549990933161,-0.1431732771097497,-0.20373251972235717,-0.12535164467367554
-0.2597907722454583,0.3470699598942976,2.107249794555108,1.8661080377300425,-0.22227914942485694,-0.1950688382023018
0.35187900131505095,-0.16327629226922316,-0.6281272129008629,-0.3259971221916308,0.098854167683329,-0.09802319429827548
-0.25486227988850324,-0.40409794161947854,-0.9788902865088183,-0.37330868452983823,-0.20262080250314177,-0.25500701490711664
-0.23076707277973815,0.07360529340651091,2.0401642381919696,7.473624095060866,-0.21513986754557882,1.0291534746751982
-0.20222281777379572,-0.23543190365172936,-0.6922395502475975,-0.2344598694210933,-0.17278123932336534,-0.23487000454698462
